FECHA_REGISTRO;EMPRESA_NOMBRE;EMPRESA_CUIT;EST_NOMBRE;EST_SECCIONAL;EST_DIRECCION;EST_COD_POS;CONVENIO;TIPO;CONCEPTO;CONCEPTO_ID;DETALLE;DETALLE_ID;TIPO_PAGO;NUMERO_ACTA;ACUERDO_NUMERO;IMPORTE;RECARGOS;TOTAL;CTA_BANCO;CODIGO_BARRA;FECHA_CALCULO
"11/03/2026 13:13:50";"GARCIA PABLO FABIAN";20210932071;"GARCIA PABLO FABIAN";;"AV. COSTANERA 1235";7107;UTHGRA;"CAFE Y/O BAR";"Contribución Solidaria";9;"Contribución Solidaria Mar de Ajó";276;;;;63421.82;0.00;63421.82;49810501/80;029404534276120210932071027188792026020003171091000000300000000063421823;"11/03/2026 10:13"
"11/03/2026 13:14:18";"excelsa coffee srl";30719130832;"excelsa coffee srl";;"GOB FELIPE LLAVALLOL 80";1824;UTHGRA;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;93638.84;0.00;93638.84;3886917;029404134005130719130832027188932026020004681942000000600000000093638842;"11/03/2026 10:14"
"11/03/2026 13:14:54";"CHAMBRES ET JARDINS SRL";30718521242;"LA NOIRE HOTEL CAFE";"CIUDAD DE BUENOS AIRES";"ROSETI 344";1427;CAECSAL;HOTEL;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Total;1234;;122000;50.00;122050.00;44044/64;029404025401200000000000026954220001234000000000000000000050000122050002;"11/03/2026 10:14"
"11/03/2026 13:20:21";"CHAMBRES ET JARDINS SRL";30718521242;"LA NOIRE HOTEL CAFE";"CIUDAD DE BUENOS AIRES";"ROSETI 344";1427;CAECSAL;HOTEL;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Total;3;;12233;32.00;12265.00;44044/64;029404025401200000000000026954220000003000000000000000000032000012265006;"11/03/2026 10:20"
"11/03/2026 13:23:57";"CRECER ONLINE";20303762117;"TEST COMEDOR";"AVELLANEDA-LOMAS DE ZAMORA";"JOSE HERNANDEZ 3541";1757;FADAPH;PARRILLA;"Fondo Convenio";3;"Convenio Agencia de Viajes y Turismo";70;Total;1234;;122333;231.00;122564.00;19026/48;029404147070200000000000027187930001234000000000000000000231000122564006;"11/03/2026 10:23"
"11/03/2026 13:25:00";"CANNOLO SRL";30715660861;"IN AND OUT";"CIUDAD DE BUENOS AIRES";"ESMERALDA 612";1007;CAECSAL;RESTAURANTE;"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;3601.24;0.00;3601.24;19026/48;029404147459130715660861022540692026020000180062000000100000000003601248;"11/03/2026 10:24"
"11/03/2026 13:27:01";"CANNOLO SRL";30715660861;"IN AND OUT";"CIUDAD DE BUENOS AIRES";"ESMERALDA 612";1007;CAECSAL;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;3658.16;0.00;3658.16;19026/48;029404147458130715660861022540642026020000182908000000100000000003658162;"11/03/2026 10:26"
"11/03/2026 13:33:35";"MODO AMISTAD S.R.L.";30718825136;"CASA VIRGILIO";"CIUDAD DE BUENOS AIRES";"VIRGILIO 2869";1408;CAECSAL;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;24624.24;87317.56;111941.80;44044/64;029404025401130718825136026953722026010001231212000001287317560111941809;"11/03/2026 10:33"
"11/03/2026 13:36:25";"CRECER ONLINE";20303762117;"TEST COMEDOR";"AVELLANEDA-LOMAS DE ZAMORA";"JOSE HERNANDEZ 3541";1757;FADAPH;PARRILLA;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Total;2121;;21242;212.00;21454.00;44044/64;029404025401200000000000027187920002121000000000000000000212000021454009;"11/03/2026 10:36"
"11/03/2026 13:41:49";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;36395.32;0.00;36395.32;44044/64;029404025401130715660861023831022026020001819766000001000000000036395322;"11/03/2026 10:41"
"11/03/2026 13:42:52";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;36395.32;0.00;36395.32;3886917;029404134005130715660861023831032026020001819766000001000000000036395327;"11/03/2026 10:42"
"11/03/2026 13:45:15";"GRUPO LODIMA SRL";30718938577;"EL VIEJO VULCANO";"CIUDAD DE BUENOS AIRES";"BOLIVAR 1779";1141;FEHGRA;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;286429.24;0.00;286429.24;44044/64;029404025401130718938577026921222026020014321462000001800000000286429241;"11/03/2026 10:45"
"11/03/2026 13:46:03";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;3364.72;0.00;3364.72;19026/48;029404147458130715660861023831042026020000168236000000100000000003364722;"11/03/2026 10:44"
"11/03/2026 13:46:41";"GRUPO LODIMA SRL";30718938577;"EL VIEJO VULCANO";"CIUDAD DE BUENOS AIRES";"BOLIVAR 1779";1141;FEHGRA;RESTAURANTE;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;286429.24;0.00;286429.24;3886917;029404134005130718938577026921232026020014321462000001800000000286429246;"11/03/2026 10:46"
"11/03/2026 13:48:00";"GRUPO LODIMA SRL";30718938577;"EL VIEJO VULCANO";"CIUDAD DE BUENOS AIRES";"BOLIVAR 1779";1141;FEHGRA;RESTAURANTE;"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;272361.10;0.00;272361.10;19026/48;029404147459130718938577026921292026020013618055000001700000000272361107;"11/03/2026 10:47"
"11/03/2026 13:49:34";"BOUTIQUE HOTEL BUENOS AIRES SRL";30710279787;"HOTEL CHEMIN";"CIUDAD DE BUENOS AIRES";"SARMIENTO 1775";1022;CAECSAL;HOTEL;"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;68371.74;0.00;68371.74;19026/48;029404147459130710279787013760492026020003418587000000300000000068371742;"11/03/2026 10:49"
"11/03/2026 13:50:26";"QIT SRL";30718912314;"ARIOSTO CAFE";"CIUDAD DE BUENOS AIRES";"PARAGUAY 4979";1414;CAECSAL;"CAFE Y/O BAR";"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;86122.28;0.00;86122.28;19026/48;029404147459130718912314026936292026020004306114000000300000000086122287;"11/03/2026 10:50"
"11/03/2026 13:51:38";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;33030.60;0.00;33030.60;19026/48;029404147459130715660861023831092026020001651530000000900000000033030600;"11/03/2026 10:51"
"11/03/2026 13:52:37";"BOUTIQUE HOTEL BUENOS AIRES SRL";30710279787;"HOTEL CHEMIN";"CIUDAD DE BUENOS AIRES";"SARMIENTO 1775";1022;CAECSAL;HOTEL;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;68371.74;0.00;68371.74;44044/64;029404025401130710279787013760422026020003418587000000300000000068371743;"11/03/2026 10:52"
"11/03/2026 13:54:08";"BOUTIQUE HOTEL BUENOS AIRES SRL";30710279787;"HOTEL CHEMIN";"CIUDAD DE BUENOS AIRES";"SARMIENTO 1775";1022;CAECSAL;HOTEL;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;68371.74;0.00;68371.74;3886917;029404134005130710279787013760432026020003418587000000300000000068371748;"11/03/2026 10:54"
"11/03/2026 13:54:37";"GIOVANINI S.R.L.";33710581369;"GIOVANINI S.R.L.";;"AVDA. REPUBLICA ARGENTINA 184";3370;FEHGRA;"RESTO BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;13358217.20;0.00;13358217.20;44044/64;0294040254011337105813690271892220260206679108600000005000000013358217207;"11/03/2026 10:54"
"11/03/2026 13:54:39";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;42033.14;0.00;42033.14;44044/64;029404025401130715660861023831022026020002101657000000800000000042033142;"11/03/2026 10:54"
"11/03/2026 13:55:22";"GRUPO LODIMA SRL";30718938577;"EL VIEJO VULCANO";"CIUDAD DE BUENOS AIRES";"BOLIVAR 1779";1141;FEHGRA;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;17973;0.00;17973.00;19026/48;029404147458130718938577026921242026020000718934000000100000000017973008;"11/03/2026 10:55"
"11/03/2026 13:58:55";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;42033.14;0.00;42033.14;3886917;029404134005130715660861023831032026020002101657000000800000000042033147;"11/03/2026 10:58"
"11/03/2026 14:00:06";"CATERING DE ALTURA SAS";30716416557;"CATERING DE ALTURA SAS";;"RUTA NACIONAL 51 KM 4";4400;CACYR;"CONCESIONARIO (PRIV. CACYR)";"Cuota Sindical";4;"Cuota Sindical Salta";520;;;;15911571.58;0.00;15911571.58;4530107545;0294085275201307164165570271893420260207955785790000282000000015911571588;"11/03/2026 11:00"
"11/03/2026 14:03:30";"CANNOLO SRL";30715660861;MADRI;"CIUDAD DE BUENOS AIRES";"CARRANZA ANGEL J 1859";1414;CAECSAL;"RESTO BAR";"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;42033.14;0.00;42033.14;19026/48;029404147459130715660861023831092026020002101657000000800000000042033141;"11/03/2026 11:03"
"11/03/2026 14:05:25";"GIOVANINI S.R.L.";33710581369;"GIOVANINI S.R.L.";"PUERTO IGUAZU";"AVDA. REPUBLICA ARGENTINA 184";3370;FEHGRA;"RESTO BAR";"Cuota Sindical";4;"Cuota Sindical Puerto Iguazú";200;;;;133582.18;0.00;133582.18;41510126/02;029404142200133710581369027189242026020006679109000000500000000133582181;"11/03/2026 11:05"
"11/03/2026 14:06:33";"DELADI SRL";30715087681;"EL BODEGON";"CIUDAD DE BUENOS AIRES";"BALCARCE 378";1064;CAECSAL;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;23130;0.00;23130.00;19026/48;029404147458130715087681021055642026020000925194000000100000000023130007;"11/03/2026 11:06"
"11/03/2026 14:08:04";"QIT SRL";30718912314;"ARIOSTO CAFE";"CIUDAD DE BUENOS AIRES";"PARAGUAY 4979";1414;CAECSAL;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;86122.28;0.00;86122.28;44044/64;029404025401130718912314026936222026020004306114000000300000000086122289;"11/03/2026 11:08"
"11/03/2026 14:12:19";"QIT SRL";30718912314;"ARIOSTO CAFE";"CIUDAD DE BUENOS AIRES";"PARAGUAY 4979";1414;CAECSAL;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;86122.28;0.00;86122.28;3886917;029404134005130718912314026936232026020004306114000000300000000086122284;"11/03/2026 11:12"
"11/03/2026 14:13:38";"MALECAI SRL";30715531514;"CAFE MARTINEZ";"CIUDAD DE BUENOS AIRES";"HIDALGO 872";1028;CAECSAL;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;206603.72;0.00;206603.72;44044/64;029404025401130715531514022403222026020010330186000000700000000206603727;"11/03/2026 11:13"
"11/03/2026 14:15:16";"MALECAI SRL";30715531514;"CAFE MARTINEZ";"CIUDAD DE BUENOS AIRES";"HIDALGO 872";1028;CAECSAL;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;2066037.24;0.00;2066037.24;3886917;029404134005130715531514022403232026020103301862000000700000002066037241;"11/03/2026 11:15"
"11/03/2026 14:16:00";"Zhu Bao Jun";20187629471;"Zhu Bao Jun";"CIUDAD DE BUENOS AIRES";"Jujuy 53";1177;UTHGRA;RESTAURANTE;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;21334.20;0.00;21334.20;3886917;029404134005120187629471027189532026020001066710000000200000000021334209;"11/03/2026 11:15"
"11/03/2026 14:16:00";"HAGUI SRL";30717752577;"PARRILLA VEINTE 10";"CIUDAD DE BUENOS AIRES";"BASUALDO 165";1408;CAECSAL;RESTAURANTE;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;207592.54;0.00;207592.54;19026/48;029404147458130717752577025697342026020010379627000001700000000207592546;"11/03/2026 11:15"
"11/03/2026 14:17:22";"MALECAI SRL";30715531514;"CAFE MARTINEZ";"CIUDAD DE BUENOS AIRES";"HIDALGO 872";1028;CAECSAL;"CAFE Y/O BAR";"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;206603.72;0.00;206603.72;19026/48;029404147458130715531514022403242026020010330186000000700000000206603721;"11/03/2026 11:17"
"11/03/2026 14:17:58";"Zhu Bao Jun";20187629471;"Zhu Bao Jun";"CIUDAD DE BUENOS AIRES";"Jujuy 53";1177;UTHGRA;RESTAURANTE;"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;21334.20;0.00;21334.20;19026/48;029404147459120187629471027189592026020001066710000000200000000021334203;"11/03/2026 11:17"
"11/03/2026 14:18:43";"Zhu Bao Jun";20187629471;"Zhu Bao Jun";"CIUDAD DE BUENOS AIRES";"Jujuy 53";1177;UTHGRA;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;21334.20;0.00;21334.20;44044/64;029404025401120187629471027189522026020001066710000000200000000021334204;"11/03/2026 11:18"
"11/03/2026 14:19:06";"GIOVANINI S.R.L.";33710581369;"GIOVANINI S.R.L.";"PUERTO IGUAZU";"AVDA. REPUBLICA ARGENTINA 184";3370;FEHGRA;"RESTO BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;133582.18;0.00;133582.18;44044/64;029404025401133710581369027189222026020006679109000000500000000133582181;"11/03/2026 11:19"
"11/03/2026 14:21:43";"GIOVANINI S.R.L.";33710581369;"GIOVANINI S.R.L.";"PUERTO IGUAZU";"AVDA. REPUBLICA ARGENTINA 184";3370;FEHGRA;"RESTO BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;133582.18;0.00;133582.18;3886917;029404134005133710581369027189232026020006679109000000500000000133582186;"11/03/2026 11:21"
"11/03/2026 14:25:30";"GARCIA PABLO FABIAN";20210932071;"GARCIA PABLO FABIAN";"PARTIDO DE LA COSTA";"AV. COSTANERA 1235";7107;UTHGRA;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;63421.82;0.00;63421.82;3886917;029404134005120210932071027188732026020003171091000000300000000063421820;"11/03/2026 11:25"
"11/03/2026 14:27:26";"HOTEL DIAZ VELEZ SRL";30544218375;"DIAZ VELEZ";"CIUDAD DE BUENOS AIRES";"DIAZ VELEZ AV 3557";1200;FADAPH;"ALBERG. TRANSITORIO";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;14758025.02;0.00;14758025.02;44044/64;0294040254011305442183750005110220260207379012510000004000000014758025021;"11/03/2026 11:27"
"11/03/2026 14:30:37";"HOTEL DIAZ VELEZ SRL";30544218375;"DIAZ VELEZ";"CIUDAD DE BUENOS AIRES";"DIAZ VELEZ AV 3557";1200;FADAPH;"ALBERG. TRANSITORIO";"Fondo Convenio";3;"Fondo Convenio F.A.D.A.P.H.";60;;;;221370.36;0.00;221370.36;388690/0;029404131060130544218375000511032026020007379012000000400000000221370364;"11/03/2026 11:30"
"11/03/2026 14:33:11";"Novobar srl";30624324303;"Novobar SRL";;"Juncal 895";1062;FEHGRA;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;186661.72;661902.46;848564.18;44044/64;0294040254011306243243030271897220260100093330860000007661902460848564180;"11/03/2026 11:33"
"11/03/2026 14:33:59";"MARTINEZ LUIS CARLOS";20331321967;MINGA;"CIUDAD DE BUENOS AIRES";"VEGA NICETO CNEL 4796";1414;CAECSAL;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;20000.00;0.00;20000.00;44044/64;029404025401120331321967024645722026020001000000000000200000000020000009;"11/03/2026 11:33"
"11/03/2026 14:34:58";"EMPANADAS ARGENTINAS SA";30715504924;"LA CARLOTA";"CIUDAD DE BUENOS AIRES";"SOLDADO DE LA INDEPENDENCIA 1023";1426;CAECSAL;ROTISERIA;"Cuota Sindical";4;"Cuota Sindical CABA";458;;;;83898.80;0.00;83898.80;19026/48;029404147458130715504924021821742026020004194940000000700000000083898807;"11/03/2026 11:34"
"11/03/2026 14:37:01";"LACEIRAS GONZALO MANUEL";23413534089;CABAX;"CIUDAD DE BUENOS AIRES";"VIAMONTE 638";1053;CAECSAL;"CAFE Y/O BAR";"Contribución Solidaria";9;"Contribución Solidaria CABA";459;;;;11849.92;0.00;11849.92;19026/48;029404147459123413534089026961992026020000592496000000200000000011849929;"11/03/2026 11:36"
"11/03/2026 14:38:25";"EMPANADAS ARGENTINAS SA";30715504924;"LA CARLOTA";"CIUDAD DE BUENOS AIRES";"SOLDADO DE LA INDEPENDENCIA 1023";1426;CAECSAL;ROTISERIA;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;83898.80;0.00;83898.80;44044/64;029404025401130715504924021821722026020004194940000000700000000083898803;"11/03/2026 11:38"
"11/03/2026 14:38:52";"LACEIRAS GONZALO MANUEL";23413534089;CABAX;"CIUDAD DE BUENOS AIRES";"VIAMONTE 638";1053;CAECSAL;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;11849.92;0.00;11849.92;44044/64;029404025401123413534089026961922026020000592496000000200000000011849921;"11/03/2026 11:38"
"11/03/2026 14:40:04";"EMPANADAS ARGENTINAS SA";30715504924;"LA CARLOTA";"CIUDAD DE BUENOS AIRES";"SOLDADO DE LA INDEPENDENCIA 1023";1426;CAECSAL;ROTISERIA;"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;83898.80;0.00;83898.80;3886917;029404134005130715504924021821732026020004194940000000700000000083898808;"11/03/2026 11:40"
"11/03/2026 14:41:04";"LACEIRAS GONZALO MANUEL";23413534089;CABAX;"CIUDAD DE BUENOS AIRES";"VIAMONTE 638";1053;CAECSAL;"CAFE Y/O BAR";"Fondo Convenio";3;"Fondo Convenio F.E.H.G.R.A.";5;;;;11849.92;0.00;11849.92;3886917;029404134005123413534089026961932026020000592496000000200000000011849926;"11/03/2026 11:41"
"11/03/2026 14:41:06";"QIT SRL";30718912314;"ARIOSTO CAFE";"CIUDAD DE BUENOS AIRES";"PARAGUAY 4979";1414;FEHGRA;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;86122.28;0.00;86122.28;44044/64;029404025401130718912314026936222026020004306114000000300000000086122289;"11/03/2026 11:41"
"11/03/2026 14:46:28";"MARTINEZ LUIS CARLOS";20331321967;MINGA;"CIUDAD DE BUENOS AIRES";"VEGA NICETO CNEL 4796";1414;CAECSAL;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;246913.56;0.00;246913.56;44044/64;029404025401120331321967024645722026020012345678000001300000000246913569;"11/03/2026 11:46"
"11/03/2026 14:46:38";"ALBORNOZ PAOLA ALEJANDRA";27318575296;WALDORF;TUCUMAN;"25 DE MAYO 657";4000;UHRCByA;"CAFE Y/O BAR";"Obra Social";1;"Seleccione un concepto primero";;Total;450886;82384;13920;0.00;13920.00;;029400000000327318575296027190410082384001001000045088600000000013920003;"11/03/2026 11:46"
"11/03/2026 14:47:27";"ALBORNOZ PAOLA ALEJANDRA";27318575296;WALDORF;TUCUMAN;"25 DE MAYO 657";4000;UHRCByA;"CAFE Y/O BAR";"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;Total;450886;182776;53984;0.00;53984.00;44044/64;029404025401327318575296027190420182776001001000045088600000000053984006;"11/03/2026 11:47"
"11/03/2026 14:47:33";"MIZUKI SA";30715462032;MIZUKI;"CIUDAD DE BUENOS AIRES";"MANSO JUANA 1519";1107;CAECSAL;RESTAURANTE;"Seguro de Vida";2;"SEGURO DE VIDA Y SEPELIO";401;;;;8621957.00;0.00;8621957.00;44044/64;029404025401130715462032022223822026020431097850000000600000008621957003;"11/03/2026 11:47"
